gp,min,pts,fg,3p_made,3p,ftm,ft,oreb,dreb,ast,stl,blk,tov,target_5yrs,points_per_minute,efficiency_rating
36,27.4,7.4,34.7,0.5,25.0,1.6,69.9,0.7,3.4,1.9,0.4,0.4,1.3,0,0.27007299270072993,12.9
35,26.9,7.2,29.6,0.7,23.5,2.6,76.5,0.5,2.0,3.7,1.1,0.5,1.6,0,0.2676579925650558,13.3
74,15.3,5.2,42.2,0.4,24.4,0.9,67.0,0.5,1.7,1.0,0.5,0.3,1.0,0,0.33986928104575165,8.200000000000001
58,11.6,5.7,42.6,0.1,22.6,0.9,68.9,1.0,0.9,0.8,0.6,0.1,1.0,1,0.4913793103448276,8.1
48,11.5,4.5,52.4,0.0,0.0,1.3,67.4,1.0,1.5,0.3,0.3,0.4,0.8,1,0.391304347826087,7.2
75,11.4,3.7,42.3,0.3,32.5,0.4,73.2,0.2,0.7,1.8,0.4,0.0,0.7,0,0.32456140350877194,6.0
62,10.9,6.6,43.5,0.0,50.0,1.5,81.1,0.5,1.4,0.6,0.2,0.1,0.7,1,0.6055045871559632,8.799999999999999
48,10.3,5.7,41.5,0.4,30.0,0.7,87.5,0.8,0.9,0.2,0.2,0.1,0.7,1,0.5533980582524272,7.2
65,9.9,2.4,39.2,0.1,23.3,0.4,71.4,0.2,0.6,2.3,0.3,0.0,1.1,0,0.2424242424242424,4.699999999999999
42,8.5,3.7,38.3,0.1,21.4,1.0,67.8,0.4,0.7,0.3,0.2,0.0,0.7,0,0.43529411764705883,4.6000000000000005
35,6.9,2.3,36.5,0.0,33.3,0.5,81.8,0.5,0.3,0.7,0.1,0.1,0.3,0,0.3333333333333333,3.8
40,6.7,3.6,39.8,0.1,13.6,1.1,77.6,0.5,0.8,0.4,0.3,0.1,0.6,1,0.5373134328358209,5.0
27,6.6,1.3,47.2,0.0,0.0,0.1,28.6,0.6,1.4,0.2,0.2,0.6,0.3,1,0.196969696969697,4.0
45,15.3,5.6,32.3,1.1,30.1,0.7,86.1,0.5,1.6,0.5,0.5,0.3,0.5,0,0.3660130718954248,8.4
44,6.4,2.4,53.7,0.0,0.0,0.4,50.0,0.4,1.0,0.2,0.2,0.4,0.6,1,0.37499999999999994,4.000000000000001
40,6.1,2.6,51.4,0.1,14.3,0.7,68.4,0.1,0.3,1.4,0.3,0.0,0.8,1,0.42622950819672134,3.9000000000000004
49,5.3,2.1,37.6,0.0,0.0,0.7,64.2,0.5,0.7,0.2,0.3,0.2,0.5,0,0.39622641509433965,3.5
